name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
慈濟學校財團法人慈濟大學,慈濟大學,08152423,UTCE,UNIV,true,false,大學,E,花東,,false,吳柏寬/葉祖潤,0067,南區業務一課,黃映晨,,30天收款,30,,
臺北醫學大學,臺北醫學大學,03724606,UTMN,UNIV,true,false,大學,N,北,,false,劉翊宏,0134,北區業務一課,魏伶華,,90天收款,30,,
臺中榮民總醫院嘉義分院,嘉榮,66014700,VGCS,VGH,true,false,區域醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,楊斯閔,,60天收款,30,,
臺北榮民總醫院新竹分院,竹榮,48301407,VGHN,VGH,true,false,地區醫院,N,北,,false,張慈芳/簡秋涵,0137,北區業務一課,魏伶華,,30天收款,30,,
高雄榮民總醫院,高榮,08261077,VGKS,VGH,true,false,醫學中心,S,南,,false,施吟欣/李張銘,0019,南區業務一課,魏伶華,,30天收款,30,,
臺中榮民總醫院埔里分院,埔榮,62301202,VGPM,VGH,true,false,地區醫院,M,中,,false,鄒婉萱,0089,中區業務一課,關雅婷,,60天收款,30,,
屏東榮民總醫院,屏榮,92362346,VGPS,VGH,true,false,區域醫院,S,南,,false,施吟欣/李張銘,0019,南區業務一課,關雅婷,,90天收款,,,
臺中榮民總醫院,中榮,52804958,VGTM,VGH,true,false,醫學中心,M,中,,false,張耘旗/楊蕙如/劉婷方,0146,中區業務一課,楊斯閔,,30天收款,30,,
臺北榮民總醫院,北榮,29906905,VGTN,VGH,true,false,醫學中心,N,北,,false,胡慧雯/洪舜婕,0016,北區業務一課,關雅婷,魏伶華,60天收款,30,,
高雄榮民總醫院臺南分院(永康榮民醫院),永榮,73501918,VGTS,VGH,true,false,地區醫院,S,南,,false,姚瀞媛/黃子恩,0018,南區業務一課,魏伶華,,60天收款,30,,
臺北榮民總醫院桃園分院,桃榮,83301431,VGYN,VGH,true,false,區域醫院,N,北,,false,張慈芳/簡秋涵,0093,北區業務一課,魏伶華,,60天收款,30,,
台大附屬動物醫院,台大動物,04188456,VT01N,VET,true,false,動物醫院,N,北,,false,楊侑霖/劉翊宏,0105,北區業務一課,魏伶華,,60天收款,30,,
