name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
林新醫療社團法人烏日林新醫院,林新烏日,72310497,LSWM,LSC,true,false,區域醫院,M,中,,false,鄒婉萱,0089,中區業務一課,關雅婷,,180天收款,30,,
衛生福利部朴子醫院,署朴子,66599197,MHBS,MOH,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,關雅婷,,60天收款,30,,
衛生福利部彰化醫院,署彰,58920119,MHCM,MOH,true,false,區域醫院,M,中,,false,陳虹均,0017,中區業務一課,魏伶華,,60天收款,30,,
衛生福利部旗山醫院,署旗山,87405106,MHCS,MOH,true,false,區域醫院,S,南,,false,周悅筠,0076,南區業務一課,關雅婷,,60天收款,30,,
衛生福利部豐原醫院,署豐,55961585,MHFM,MOH,true,false,區域醫院,M,中,,false,溫婉婷,0033,中區業務一課,楊斯閔,,90天收款,30,,
衛生福利部恆春旅遊醫院,署恆春,91605703,MHHO,MOH,true,false,區域醫院,S,南,,false,施吟欣,0019,南區業務一課,黃映晨,,60天收款,,,
衛生福利部基隆醫院,署基,00519807,MHKN,MOH,true,false,地區醫院,N,北,,false,,0050,北區業務一課,黃映晨,,30天收款,30,,
衛生福利部金門醫院,署金門,77355090,MHKO,MOH,true,false,地區醫院,X,離島,,false,李暐,0039,北區業務一課,黃映晨,,120天收款,30,,
衛生福利部樂生療養院,署樂生,35703569,MHLN,MOH,true,false,區域醫院,N,北,,false,,0077,北區業務一課,黃映晨,,60天收款,,,
衛生福利部苗栗醫院,署苗,49666609,MHMN,MOH,true,false,區域醫院,N,北,,false,張緯棋,0098,北區業務一課,關雅婷,,90天收款,30,,
衛生福利部南投醫院,署南投,61605403,MHNM,MOH,true,false,地區醫院,M,中,,false,溫婉婷,0033,中區業務一課,關雅婷,,30天收款,30,,
衛生福利部澎湖醫院,署澎,92611511,MHPO,MOH,true,false,區域醫院,X,離島,,false,李暐,0039,北區業務一課,黃映晨,,30天收款,30,,
衛生福利部屏東醫院,署屏東,91003505,MHPS,MOH,true,false,區域醫院,S,南,,false,林湘庭,0149,南區業務一課,關雅婷,,60天收款,30,,
衛生福利部新營醫院,署新營,71806409,MHSS,MOH,true,false,區域醫院,S,南,,false,柯沐柔,0045,南區業務一課,黃映晨,,60天收款,30,,
衛生福利部臺中醫院,署台中,52021202,MHTM,MOH,true,false,區域醫院,M,中,,false,張緯棋,0098,中區業務一課,楊斯閔,,30天收款,30,,
衛生福利部臺北醫院,署北,33704228,MHTN,MOH,true,false,地區醫院,N,北,,false,劉翊宏,0134,北區業務一課,關雅婷,,30天收款,30,,
衛生福利部臺南醫院,署台南,69116907,MHTS,MOH,true,false,區域醫院,S,南,,false,姚瀞媛,0018,南區業務一課,魏伶華,,90天收款,30,,
衛生福利部桃園醫院,署桃,43823434,MHUN,MOH,true,false,區域醫院,N,北,,false,莊新力,0087,北區業務一課,關雅婷,,60天收款,30,,
衛生福利部臺南醫院新化分院,署台南新化分,69116907,MHXS,MOH,true,false,區域醫院,S,南,,false,姚瀞媛,0018,南區業務一課,魏伶華,,60天收款,30,,
衛生福利部嘉義醫院,署嘉義,66021505,MHYS,MOH,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,關雅婷,,30天收款,30,,
財團法人基督長老教會馬偕紀念醫院淡水分院,淡水馬偕,04007602,MMDN,MMH,true,false,醫學中心,N,北,,false,王思閔/李泓寬,0059,北區業務一課,魏伶華,黃映晨,90天收款,30,,
